SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,TrafficCount
"101021010",Queanbeyan - East,"0",No change,"10102",Queanbeyan,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,13.003200000000000,http://linked.data.gov.au/dataset/asgsed3/SA2/101021010,177170
"101021611",Queanbeyan Surrounds,"1",New,"10102",Queanbeyan,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,3047.705699999999979,http://linked.data.gov.au/dataset/asgsed3/SA2/101021611,75750
"101031013",Bombala,"0",No change,"10103",Snowy Mountains,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,3990.143999999999778,http://linked.data.gov.au/dataset/asgsed3/SA2/101031013,8868
"101031014",Cooma,"0",No change,"10103",Snowy Mountains,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,103.637100000000004,http://linked.data.gov.au/dataset/asgsed3/SA2/101031014,33906
"101031015",Cooma Surrounds,"3",Name change,"10103",Snowy Mountains,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,6251.015800000000127,http://linked.data.gov.au/dataset/asgsed3/SA2/101031015,74778
"101031016",Jindabyne - Berridale,"0",No change,"10103",Snowy Mountains,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,3939.788799999999810,http://linked.data.gov.au/dataset/asgsed3/SA2/101031016,27958
"101041017",Batemans Bay,"0",No change,"10104",South Coast,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,63.707299999999996,http://linked.data.gov.au/dataset/asgsed3/SA2/101041017,83068
"101041020",Bega-Eden Hinterland,"0",No change,"10104",South Coast,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,4709.826500000000124,http://linked.data.gov.au/dataset/asgsed3/SA2/101041020,42166
"101041023",Eden,"0",No change,"10104",South Coast,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,94.813800000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041023,38344
"101041024",Eurobodalla Hinterland,"0",No change,"10104",South Coast,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,1460.011799999999994,http://linked.data.gov.au/dataset/asgsed3/SA2/101041024,70876
"101041025",Merimbula - Tura Beach,"0",No change,"10104",South Coast,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,97.339500000000001,http://linked.data.gov.au/dataset/asgsed3/SA2/101041025,15520
"101051540",Goulburn Surrounds,"3",Name change,"10105",Goulburn - Mulwaree,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,9035.122199999999793,http://linked.data.gov.au/dataset/asgsed3/SA2/101051540,231416
"101061541",Yass,"0",No change,"10106",Young - Yass,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,99.734099999999998,http://linked.data.gov.au/dataset/asgsed3/SA2/101061541,134364
"101061542",Yass Surrounds,"3",Name change,"10106",Young - Yass,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,5680.569599999999809,http://linked.data.gov.au/dataset/asgsed3/SA2/101061542,785428
"101061543",Young,"0",No change,"10106",Young - Yass,"101",Capital Region,1RNSW,Rest of NSW,"1",New South Wales,AUS,Australia,505.752999999999986,http://linked.data.gov.au/dataset/asgsed3/SA2/101061543,116752
